Pais;Populacao(2020);Mudanca anual;Mudanca de rede;Densidade(KM);Area do terreno(KM);Migrantes(liq);Fert. Rate;Media idade;Pop urbana;Populacao mundial (%)
China;1.440.297.825,00;0.39 %;5540090;153;9388211;-348399.0;1.7;38;61%;18.47 %
India;1.382.345.085,00;0.99 %;13586631;464;2973190;-532687.0;2.2;28;35%;17.70 %
United States;331.341.050,00;0.59 %;1937734;36;9147420;954806.0;1.8;38;83%;4.25 %
Indonesia;274.021.604,00;1.07 %;2898047;151;1811570;-98955.0;2.3;30;56%;3.51 %
Pakistan;221.612.785,00;2.00 %;4327022;287;770880;-233379.0;3.6;23;35%;2.83 %
Brazil;212.821.986,00;0.72 %;1509890;25;8358140;21200.0;1.7;33;88%;2.73 %
Nigeria;206.984.347,00;2.58 %;5175990;226;910770;-60000.0;5.4;18;52%;2.64 %
Bangladesh;164.972.348,00;1.01 %;1643222;1265;130170;-369501.0;2.1;28;39%;2.11 %
Russia;145.945.524,00;0.04 %;62206;9;16376870;182456.0;1.8;40;74%;1.87 %
Mexico;129.166.028,00;1.06 %;1357224;66;1943950;-60000.0;2.1;29;84%;1.65 %
Japan;126.407.422,00;-0.30 %;-383840;347;364555;71560.0;1.4;48;92%;1.62 %
Ethiopia;115.434.444,00;2.57 %;2884858;115;1000000;30000.0;4.3;19;21%;1.47 %
Philippines;109.830.324,00;1.35 %;1464463;368;298170;-67152.0;2.6;26;47%;1.41 %
Egypt;102.659.126,00;1.94 %;1946331;103;995450;-38033.0;3.3;25;43%;1.31 %
Vietnam;97.490.013,00;0.91 %;876473;314;310070;-80000.0;2.1;32;38%;1.25 %
DR Congo;90.003.954,00;3.19 %;2770836;40;2267050;23861.0;6.0;17;46%;1.15 %
Turkey;84.495.243,00;1.09 %;909452;110;769630;283922.0;2.1;32;76%;1.08 %
Iran;84.176.929,00;1.30 %;1079043;52;1628550;-55000.0;2.2;32;76%;1.08 %
Germany;83.830.972,00;0.32 %;266897;240;348560;543822.0;1.6;46;76%;1.07 %
Thailand;69.830.779,00;0.25 %;174396;137;510890;19444.0;1.5;40;51%;0.90 %
United Kingdom;67.948.282,00;0.53 %;355839;281;241930;260650.0;1.8;40;83%;0.87 %
France;65.298.930,00;0.22 %;143783;119;547557;36527.0;1.9;42;82%;0.84 %
